Investment Category,Stock Ticker,Google Price,Manual Price,Last Price,Last DPS,Yield on Cost,Last Price Yield,Shares,Cost,Cost (Per Share),Unrealized Gain/Loss,Unrealized Gain/Loss (%),Realized Gain/Loss,Dividends Collected,Total Gain/Loss,Mkt Value
Value,ORCL,155.97,0.0,155.97,0.0,0.00%,0.00%,486.2,"$20,007.95",$41.15,"$55,831.03",279.0%,$0.00,$0.00,"$55,831.03","$75,838.98"
Value,BAC,43.2,0.0,43.2,0.0,0.00%,0.00%,1722.8,"$10,000.00",$5.80,"$64,423.54",644.2%,$0.00,$0.00,"$64,423.54","$74,423.54"
Value,WDC,50.18,0.0,50.18,0.0,0.00%,0.00%,322.5,"$10,000.00",$31.00,"$6,184.67",61.8%,$0.00,$0.00,"$6,184.67","$16,184.67"
Special Situation,GRVY,63.36,0.0,63.36,0.0,0.00%,0.00%,6891.1,"$10,000.00",$1.45,"$426,618.13",4266.2%,$0.00,$0.00,"$426,618.13","$436,618.13"
Value,UHAL,61.99,0.0,61.99,0.0,0.00%,0.00%,0.0,$0.39,$14.99,$1.22,313.5%,"$53,357.44",$0.00,"$53,358.66",$1.61
Value,MMM,147.62,0.0,147.62,0.0,0.00%,0.00%,0.0,$0.00,$0.00,$0.00,0.0%,"$59,427.00",$465.00,"$59,892.00",$0.00
Growth,MSFT,450.18,0.0,450.18,0.0,0.00%,0.00%,373.3,"$10,000.00",$26.79,"$158,032.17",1580.3%,$0.00,$0.00,"$158,032.17","$168,032.17"
Dividend,IBM,258.63,0.0,258.63,0.0,0.00%,0.00%,0.0,$0.15,$30.67,$1.12,743.1%,"$22,266.20",$0.00,"$22,267.32",$1.27
Value,GS,598.54,0.0,598.54,0.0,0.00%,0.00%,4.8,$456.41,$95.44,"$2,406.05",527.2%,"$2,448.46",$0.00,"$4,854.51","$2,862.46"
Growth,YHOO,No Data,13.75,13.75,0.0,0.00%,0.00%,-448.0,"-$20,459.43",$45.67,"$14,299.15",-69.9%,"-$21,296.13",$0.00,"-$6,996.98","-$6,160.28"
